pred,year
-0.19448521731209667,1938
-0.16141097301409593,1939
-0.1767698574230599,1940
-0.16991956532219313,1941
-0.20590968655050323,1942
-0.20658210653357872,1943
-0.22585942905823708,1944
-0.18491782529096046,1945
-0.18587836419008721,1946
-0.1637999925646311,1947
-0.13754959049540422,1948
-0.15970369115990654,1949
-0.16400704112763315,1950
-0.14348675931907978,1951
-0.19171205310837677,1952
-0.2030976935718184,1953
-0.18570058463666111,1954
-0.13959763024823105,1955
-0.2215716023890096,1956
-0.18919325186089975,1957
-0.15458528721918377,1958
-0.15303791975727563,1959
-0.11092387043089619,1960
-0.11448193398577138,1961
-0.19691166684879036,1962
-0.13630664725995378,1963
-0.15401923344718002,1964
-0.1532538645744703,1965
-0.14012131266374822,1966
-0.1876591230925879,1967
-0.1462568330476145,1968
-0.14734894055303324,1969
-0.16201022799975137,1970
-0.16569834094060046,1971
-0.15808172097769155,1972
-0.18551555027806527,1973
-0.15204537241038307,1974
-0.2171793850469894,1975
-0.2229268744698014,1976
-0.18079179484592992,1977
-0.22377016088272111,1978
-0.22119861845552155,1979
-0.23678602246799613,1980
-0.25553915789615844,1981
-0.17593619624476564,1982
-0.18786888382948402,1983
-0.20591955736346607,1984
-0.12228082284469066,1985
-0.12799589325657798,1986
-0.10079765745779791,1987
-0.1002928401368791,1988
-0.11024841103319517,1989
-0.11086880692561264,1990
-0.1631986420993109,1991
-0.22454290440830615,1992
-0.16161017532786306,1993
-0.17065312407647829,1994
-0.21002987792047934,1995
-0.187021221243656,1996
-0.17734014985226168,1997
-0.17801511425193614,1998
-0.18649734898164616,1999
-0.13580080342870487,2000
-0.14492702903087173,2001
-0.11946952072318008,2002
-0.09397181329979844,2003
-0.10529146336535798,2004
-0.13441409043177105,2005
-0.12108239775235198,2006
-0.10091067369967727,2007
-0.06178195601558669,2008
-0.04745312218582705,2009
-0.07748972815308747,2010
-0.06862625247610024,2011
-0.06245328864595078,2012
-0.0523539682026488,2013
-0.06701646776854016,2014
-0.06651039749787614,2015
-0.03626662614525292,2016
