"year","Brest","Newlyn"
1938.042,NA,NA
1938.125,6875,6858
1938.2083,6905,6890
1938.2917,6860,6825
1938.375,6978,6946
1938.4583,6944,6921
1938.5417,6966,6939
1938.625,6941,6959
1938.7083,6941,6989
1938.7917,7063,7006
1938.875,7160,7125
1938.9583,7151,7050
1939.0417,7253,7103
1939.125,6888,6949
1939.2083,6925,6890
1939.2917,6977,6963
1939.375,6932,6914
1939.4583,6992,6962
1939.5417,6938,7035
1939.625,6973,6969
1939.7083,6995,7017
1939.7917,7108,7087
1939.875,7069,7075
1939.9583,7033,7012
1940.0417,7056,7043
1940.125,7101,7083
1940.2083,7069,7023
1940.2917,7009,6952
1940.375,6993,6974
1940.4583,7033,6946
1940.5417,6892,6985
1940.625,6929,6909
1940.7083,6992,6976
1940.7917,7147,7107
1940.875,7149,7102
1940.9583,6949,6888
1941.0417,7094,7058
1941.125,7156,7077
1941.2083,7155,6992
1941.2917,7022,6955
1941.375,7003,6945
1941.4583,7009,6965
1941.5417,6879,6997
1941.625,7046,7011
1941.7083,6979,6958
1941.7917,6988,6971
1941.875,7134,7105
1941.9583,6907,6889
1942.0417,6958,6881
1942.125,6904,6861
1942.2083,7054,7018
1942.2917,7044,6996
1942.375,7086,7016
1942.4583,6993,6923
1942.5417,6980,6942
1942.625,7023,7000
1942.7083,7111,7038
1942.7917,7162,7069
1942.875,7071,7078
1942.9583,7175,7116
1943.0417,7236,7139
1943.125,6933,6841
1943.2083,7015,6930
1943.2917,6983,6891
1943.375,7023,6915
1943.4583,7000,6914
1943.5417,7055,6973
1943.625,7038,7017
1943.7083,7077,6996
1943.7917,7177,7108
1943.875,7055,6981
1943.9583,7009,6941
1944.0417,NA,6910
1944.125,NA,6863
1944.2083,NA,6854
1944.2917,NA,6918
1944.375,NA,6875
1944.4583,NA,6959
1944.5417,NA,7015
1944.625,NA,7011
1944.7083,NA,6979
1944.7917,NA,7018
1944.875,NA,7064
1944.9583,NA,6991
1945.0417,NA,6933
1945.125,NA,6891
1945.2083,NA,6841
1945.2917,NA,6969
1945.375,NA,7016
1945.4583,NA,6968
1945.5417,NA,6971
1945.625,NA,6994
1945.7083,NA,6998
1945.7917,NA,7088
1945.875,NA,7142
1945.9583,NA,7199
1946.0417,NA,7055
1946.125,NA,6911
1946.2083,NA,7029
1946.2917,NA,6929
1946.375,NA,7072
1946.4583,NA,7008
1946.5417,NA,6955
1946.625,NA,7021
1946.7083,NA,7057
1946.7917,NA,7115
1946.875,NA,7144
1946.9583,NA,6982
1947.0417,NA,7040
1947.125,NA,7112
1947.2083,NA,7209
1947.2917,NA,6952
1947.375,NA,6994
1947.4583,NA,7027
1947.5417,NA,6994
1947.625,NA,7005
1947.7083,NA,7021
1947.7917,NA,6994
1947.875,NA,7088
1947.9583,NA,6983
1948.0417,NA,7164
1948.125,NA,6958
1948.2083,NA,6925
1948.2917,NA,6952
1948.375,NA,6990
1948.4583,NA,6975
1948.5417,NA,6978
1948.625,NA,7037
1948.7083,NA,6988
1948.7917,NA,7057
1948.875,NA,7068
1948.9583,NA,7182
1949.0417,NA,6913
1949.125,NA,6911
1949.2083,NA,6876
1949.2917,NA,6941
1949.375,NA,6956
1949.4583,NA,6948
1949.5417,NA,6974
1949.625,NA,6994
1949.7083,NA,7106
1949.7917,NA,7154
1949.875,NA,7139
1949.9583,NA,7056
1950.0417,NA,7006
1950.125,NA,7135
1950.2083,NA,6968
1950.2917,NA,6936
1950.375,NA,6991
1950.4583,NA,7006
1950.5417,NA,7020
1950.625,NA,7043
1950.7083,NA,7048
1950.7917,NA,7046
1950.875,NA,7155
1950.9583,NA,7067
1951.0417,NA,7104
1951.125,NA,7119
1951.2083,NA,7059
1951.2917,NA,6949
1951.375,NA,7034
1951.4583,NA,7005
1951.5417,NA,6968
1951.625,NA,7037
1951.7083,NA,7078
1951.7917,NA,7048
1951.875,NA,7235
1951.9583,NA,7090
1952.0417,NA,6987
1952.125,NA,6915
1952.2083,NA,7093
1952.2917,NA,6965
1952.375,NA,7041
1952.4583,NA,6993
1952.5417,NA,6951
1952.625,NA,7054
1952.7083,NA,7029
1952.7917,7087,7120
1952.875,7091,7075
1952.9583,7097,7061
1953.0417,6943,6934
1953.125,6922,6910
1953.2083,6872,6864
1953.2917,7048,7029
1953.375,7003,6976
1953.4583,7027,7020
1953.5417,6981,6995
1953.625,6995,6995
1953.7083,7020,7045
1953.7917,7024,7056
